Site_Name,Depth_m,Halimeda_cover%,Platygyra_sp,Acropora_sp,Porites_sp.,Porites_rus,Pocillopora_damicornis,Favia,Coral_total
Harbour_reef,3,4,2.6,2.5,7.3,1,4.8,2,24.2
Harbour_reef,3,0,4.5,4.2,15,6.6,3.5,3.5,37.3
Harbour_reef,3,0.14,3.14,6.71,7.29,15.29,3.14,2,37.71
Harbour_reef,3,0.1,0.1,0.3,15.5,2.4,5.7,1.3,25.4
Harbour_reef,7,47.25,1.25,2.75,3,6,5,4.5,69.75
Harbour_reef,7,12.9,8.3,2.2,4.8,4.1,7.1,4.8,44.2
Harbour_reef,7,0,0.14,5.43,1.57,6.57,3.14,0,16.85
Harbour_reef,12,4.9,0.6,8.7,2.5,0.3,0.3,1.4,18.7
Harbour_reef,12,0,0,18.4,3.4,0.9,1.2,0,23.9
Coral_gardens,3,0,8.9,0.3,7.1,13.1,5.2,0.7,35.3
Coral_gardens,3,0,1.4,1,1.1,1.4,0.4,0.2,5.5
Coral_gardens,3,0,0.11,1.22,10.67,5.78,0.56,3.33,21.67
Coral_gardens,3,0,1.25,3.13,6.25,17.75,15,2.5,45.88
Coral_gardens,3,0,0.22,6.11,7.11,3,6.22,1.56,24.22
Coral_gardens,3,0.14,3.14,6.71,7.29,15.29,3.14,2,37.71
Coral_gardens,7,32,3.11,7.56,7.56,3.67,3.44,2.44,59.78
Coral_gardens,7,19,0,6.9,5.9,14.1,2.7,1.3,49.9
Coral_gardens,7,13.67,2.5,5.33,1.83,4.67,4.17,0,32.17
Coral_gardens,12,73,0,2.75,0.63,0,0,4.75,81.13
Coral_gardens,12,80.14,0.29,10.43,0,0,0,2,92.86
Coral_gardens,12,60.14,0.71,1.29,2.43,1.71,0.14,1.71,68.13
Blue_cove,3,0,0.7,1,7,4.4,0.9,0.6,14.6
Blue_cove,3,0,1.29,1.29,7.86,0.43,1.29,0.71,12.87
Blue_cove,3,4.5,3.7,2,9.5,1.5,5.5,2,28.7
Blue_cove,3,0,0.9,0.4,3.2,2.3,0,0.8,7.6
Blue_cove,3,0.3,0.7,2.3,6.83,13.83,0,3,26.96
Blue_cove,3,0,2.7,0.3,6,3.2,2.5,0,14.7
Blue_cove,7,0,4.2,10,5,4.9,1.9,2.2,28.2
Blue_cove,7,0,0,2.2,5.2,9.5,4,1.7,22.6
Blue_cove,7,32,0,18.7,14.4,14.8,9.6,1.3,90.8
Blue_cove,12,0,0.67,6.78,5.44,4.78,1.44,6.22,25.33
Blue_cove,12,0,4.83,4,6.83,9.83,1.5,0.17,27.16
Blue_cove,12,9.2,1.3,8.3,8.4,3.8,0.8,0,31.8
